Country,priceIncrease,geoBio,biofules,solar,wind,hydro,nuclear,gas,coal,oil
Austria,1.51011560693642,0.011790712050483,0.012753427571588,0.013749018489413,0.045707241329801,0.282648229154216,0,0.218523177907185,0.07425337233,0.340574821167314
Belgium,2.10845383759733,0.007931002540539,0.011296436541677,0.020159798352802,0.05039989056023,0.001053913608343,0.130479155101864,0.255573771568246,0.041775383500019,0.48133064822628
Bulgarien,1.16870415647922,0.009031699849486,0,0.020670183123828,0.020618189786341,0.040049188002833,0.222690440224942,0.155227433254432,0.25660661261595,0.275106253142188
Cypern,2.15456081081081,0.002176278576154,0,0.027865791338077,0.022662301078835,0,0,0,0.005818931445898,0.941476697561036
Czech Republic,2.80982073265783,0.011935309763154,0,0.013747433285464,0.004303807019705,0.013188449075799,0.177480027542373,0.198364135665821,0.340749987843058,0.240230849804627
Germany,1.6078566505858,0.015386729888937,0.01182675159638,0.038471441464085,0.104482933992491,0.014491350020568,0.048864281259872,0.262345672013226,0.151088959970168,0.353041879794273
Denmark,4.00440528634361,0.037424119769444,0,0.019586962857761,0.270945046231261,0.000283119777893,0,0.1467300357738,0.058254173347729,0.466776542242112
Estonia,2.18782791185729,0.03266720673691,0,0.006127302485081,0.040748305259737,0.001448398318168,0,0.079057581638762,0.537947144215001,0.302004061346341
Greece (EL),3.56494522691706,0.001658716375646,0,0.042710880612785,0.089421139641216,0.03171754815495,0,0.231960781012966,0.077878543030178,0.52465239117226
Spain,2.35396825396825,0.004303835114249,0.011171095048086,0.038063221736902,0.103953808936457,0.056185049074632,0.103033355648332,0.227842834121397,0.024113747106254,0.43133305321369
Finland,1.55435684647303,0.039861283541464,0.014298954570878,0.002014115656499,0.073004800699876,0.144105859146507,0.205586967856464,0.071827013371384,0.109281329916778,0.34001967524015
France,1.33359133126935,0.004377697673808,0.012638906566443,0.013929874954841,0.04283889538228,0.065925622418941,0.365922925479156,0.16653400044445,0.022070170896664,0.305761906183416
Kroatien,1.15044247787611,0.012136491480942,0,0.002839515135047,0.051161832692072,0.168360987371492,0,0.332486576964569,0.047557056973798,0.38545753938208
Hungary,1.07430730478589,0.008266517539452,0,0.024590302347456,0.0065500804553,0.002440029238661,0.154065014079159,0.388117857102955,0.074611858615116,0.3413583406219
Ireland,1.70628728774667,0.005487080039473,0,0.000980515674074,0.177553888456359,0.01434954411801,0,0.310717111139686,0.050853574285712,0.440058286286685
Italy,2.39819684447784,0.016101401559164,0.008301568928237,0.040467644403321,0.030672068956814,0.07537491981342,0,0.42442843362269,0.037188215257304,0.367465747459052
Lithuania,2.06481481481481,0.008828110187612,0,0.005026511367672,0.06055618482072,0.011727225315711,0,0.350759347720851,0.026769442412979,0.536333178174455
Luxembourg,1.15767918088737,0.009774745168829,0,0.011130628082653,0.024236190591949,0.006322592861413,0,0.189892296882302,0.011749882224711,0.746893664188143
Latvia,2.43582089552239,0.022615392117467,0,0.000332699704596,0.012225087063631,0.178843420880114,0,0.280650002984091,0.006995149430851,0.498338247819251
North Macedonia,1.38951841359773,0.002128453188562,0,0.002296246533055,0.011403181828453,0.124596755158218,0,0.120397612485032,0.30365948253884,0.435518268267841
Netherlands,2.34212454212454,0.009608728502818,0.010300190170295,0.024999193816019,0.043750946690416,0.000132528654204,0.011187122005424,0.392632129413731,0.051918550109496,0.455470610637598
Norway,2.96763754045307,0.000458201020552,0,0.000665658511002,0.046976753240886,0.666926744184357,0,0.079536836771809,0.016200746284811,0.189235059986583
Poland,1.0514165792235,0.006747741507472,0.010601323978374,0.004600783854127,0.037127544998547,0.004976927029428,0,0.188472545988871,0.428049711997485,0.319423420645697
Portugal,1.73286467486819,0.015638346879757,0.011340396821159,0.017332358023978,0.12606189673306,0.123847948606967,0,0.235596148789157,0.02567723672042,0.444505667425502
Romania,2.57980769230769,0.001505119072897,0,0.012534077726671,0.050230335236945,0.111243425942452,0.07957821151409,0.310093973410282,0.114891138692665,0.319923718403999
Sweden,1.95830055074744,0.018824522808094,0.026138670976109,0.004578061799224,0.121754325508224,0.319097522767999,0.20882243404733,0.021417799983881,0.031822418752089,0.247544243357051
Slovenia,1.29915254237288,0.003664348260766,0,0.012774617385815,0.00021687589515,0.171187974519644,0.21150474904155,0.112972822450503,0.155142135418666,0.332536477027906
Slovakia,1.18896925858951,0.0095375219791,0,0.009926489831538,5.98589245550189E-05,0.067628886603058,0.221886247317335,0.271054795510575,0.153581490746701,0.266324709087137
